INFO:arc_agi.scorecard:Initialized ScorecardManager with idle_for=0:15:00 and max_open_for=3 days, 0:00:00
2026-08-13 16:19:19 | INFO | Got anonymous API key: c7eeb35f-f10c-4bbb-a25e-b525828dd139
Got anonymous API key: c7eeb35f-f10c-4bbb-a25e-b525828dd139
2026-08-13 16:19:19 | INFO | You can register for an API key at https://three.arcprize.org
You can register for an API key at https://three.arcprize.org
2026-08-13 16:19:20 | INFO | Successfully fetched 25 environment(s) from API
Successfully fetched 25 environment(s) from API
=== [1/1] ls20 ===
2026-08-13 16:19:20 | INFO | Created new scorecard: d8a789b1-046d-43fb-b058-bb247d2fa89b
Created new scorecard: d8a789b1-046d-43fb-b058-bb247d2fa89b
2026-08-13 16:19:21 | INFO | Successfully fetched metadata for game ls20
Successfully fetched metadata for game ls20
2026-08-13 16:19:22 | INFO | Successfully downloaded game ls20 (version: 9607627b) to environment_files\ls20\9607627b
Successfully downloaded game ls20 (version: 9607627b) to environment_files\ls20\9607627b
2026-08-13 16:19:22 | INFO | Successfully loaded game class Ls20 from environment_files\ls20\9607627b\ls20.py
Successfully loaded game class Ls20 from environment_files\ls20\9607627b\ls20.py
ls20 - RESET: count 0, levels completed 0, avg fps 0.0)
ls20 - ACTION1: count 1, levels completed 0, avg fps 8.33)
ls20 - ACTION2: count 2, levels completed 0, avg fps 16.67)
ls20 - ACTION3: count 3, levels completed 0, avg fps 23.08)
ls20 - ACTION4: count 4, levels completed 0, avg fps 30.77)
ls20 - ACTION2: count 5, levels completed 0, avg fps 38.46)
ls20 - ACTION1: count 6, levels completed 0, avg fps 40.0)
ls20 - ACTION1: count 7, levels completed 0, avg fps 38.89)
ls20 - ACTION1: count 8, levels completed 0, avg fps 40.0)
ls20 - ACTION3: count 9, levels completed 0, avg fps 39.13)
ls20 - ACTION3: count 10, levels completed 0, avg fps 40.0)
ls20 - ACTION3: count 11, levels completed 0, avg fps 39.29)
ls20 - ACTION1: count 12, levels completed 0, avg fps 38.71)
ls20 - ACTION3: count 13, levels completed 0, avg fps 38.24)
ls20 - ACTION3: count 14, levels completed 0, avg fps 38.89)
ls20 - ACTION2: count 15, levels completed 0, avg fps 36.59)
ls20 - ACTION3: count 16, levels completed 0, avg fps 35.56)
ls20 - ACTION1: count 17, levels completed 0, avg fps 33.33)
ls20 - ACTION4: count 18, levels completed 0, avg fps 33.33)
ls20 - ACTION4: count 19, levels completed 0, avg fps 33.33)
ls20 - ACTION4: count 20, levels completed 0, avg fps 33.33)
ls20 - ACTION1: count 21, levels completed 0, avg fps 33.33)
ls20 - ACTION1: count 22, levels completed 0, avg fps 33.85)
ls20 - ACTION1: count 23, levels completed 1, avg fps 33.82)
ls20 - ACTION1: count 24, levels completed 1, avg fps 34.78)
ls20 - ACTION4: count 25, levels completed 1, avg fps 34.25)
ls20 - ACTION1: count 26, levels completed 1, avg fps 34.67)
ls20 - ACTION1: count 27, levels completed 1, avg fps 34.62)
ls20 - ACTION1: count 28, levels completed 1, avg fps 35.0)
ls20 - ACTION1: count 29, levels completed 1, avg fps 34.94)
ls20 - ACTION1: count 30, levels completed 1, avg fps 34.88)
ls20 - ACTION4: count 31, levels completed 1, avg fps 35.23)
ls20 - ACTION4: count 32, levels completed 1, avg fps 35.16)
ls20 - ACTION2: count 33, levels completed 1, avg fps 35.48)
ls20 - ACTION4: count 34, levels completed 1, avg fps 35.42)
