INFO:arc_agi.scorecard:Initialized ScorecardManager with idle_for=0:15:00 and max_open_for=3 days, 0:00:00
2026-08-11 10:41:23 | INFO | Got anonymous API key: e735debb-533d-4a97-9e32-3f3703a12ad8
Got anonymous API key: e735debb-533d-4a97-9e32-3f3703a12ad8
2026-08-11 10:41:23 | INFO | You can register for an API key at https://three.arcprize.org
You can register for an API key at https://three.arcprize.org
2026-08-11 10:41:24 | INFO | Successfully fetched 25 environment(s) from API
Successfully fetched 25 environment(s) from API
=== [1/1] cn04 ===
2026-08-11 10:41:24 | INFO | Created new scorecard: ec8672e3-e4d3-4f72-b810-ea4dde42b314
Created new scorecard: ec8672e3-e4d3-4f72-b810-ea4dde42b314
2026-08-11 10:41:25 | INFO | Successfully fetched metadata for game cn04
Successfully fetched metadata for game cn04
2026-08-11 10:41:26 | INFO | Successfully downloaded game cn04 (version: 2fe56bfb) to environment_files\cn04\2fe56bfb
Successfully downloaded game cn04 (version: 2fe56bfb) to environment_files\cn04\2fe56bfb
2026-08-11 10:41:26 | INFO | Successfully loaded game class Cn04 from environment_files\cn04\2fe56bfb\cn04.py
Successfully loaded game class Cn04 from environment_files\cn04\2fe56bfb\cn04.py
cn04 - RESET: count 0, levels completed 0, avg fps 0.0)
cn04 - ACTION1: count 1, levels completed 0, avg fps 3.03)
cn04 - ACTION2: count 2, levels completed 0, avg fps 6.06)
cn04 - ACTION3: count 3, levels completed 0, avg fps 8.82)
cn04 - ACTION4: count 4, levels completed 0, avg fps 11.76)
cn04 - ACTION5: count 5, levels completed 0, avg fps 14.71)
cn04 - ACTION2: count 6, levels completed 0, avg fps 16.22)
cn04 - ACTION2: count 7, levels completed 0, avg fps 17.95)
cn04 - ACTION4: count 8, levels completed 0, avg fps 18.6)
cn04 - ACTION4: count 9, levels completed 0, avg fps 19.15)
cn04 - ACTION4: count 10, levels completed 0, avg fps 20.0)
cn04 - ACTION4: count 11, levels completed 0, avg fps 20.37)
cn04 - ACTION4: count 12, levels completed 0, avg fps 21.43)
cn04 - ACTION4: count 13, levels completed 0, avg fps 20.63)
cn04 - ACTION4: count 14, levels completed 0, avg fps 20.59)
cn04 - ACTION2: count 15, levels completed 0, avg fps 20.55)
cn04 - ACTION2: count 16, levels completed 0, avg fps 19.75)
cn04 - ACTION2: count 17, levels completed 0, avg fps 19.77)
cn04 - ACTION2: count 18, levels completed 0, avg fps 19.78)
cn04 - ACTION2: count 19, levels completed 0, avg fps 19.39)
