a= 928 [14, 40] -> [9, 40]     [14, '#.#/##./.##']
a= 929 [9, 40] -> [9, 35]     [14, '#.#/##./.##']
a= 930 [9, 35] -> [9, 30]     [14, '#.#/##./.##']
a= 931 [9, 30] -> [9, 25]     [14, '#.#/##./.##']
a= 932 [9, 25] -> [14, 25]     [14, '#.#/##./.##']
a= 933 [14, 25] -> [19, 25] CHG [8, '#.#/##./.##']
a= 934 [19, 25] -> [24, 25]     [8, '#.#/##./.##']
a= 935 [24, 25] -> [29, 25]     [8, '#.#/##./.##']
a= 936 [29, 25] -> [34, 25]     [8, '#.#/##./.##']
a= 937 [34, 25] -> [39, 25]     [8, '#.#/##./.##']
a= 938 [39, 25] -> [39, 20]     [8, '#.#/##./.##']
a= 939 [39, 20] -> [39, 15]     [8, '#.#/##./.##']
a= 940 [39, 15] -> [44, 15]     [8, '#.#/##./.##']
a= 941 [44, 15] -> [49, 15]     [8, '#.#/##./.##']
a= 942 [49, 15] -> [49, 10]     [8, '#.#/##./.##']
a= 943 [49, 10] -> [49, 25]     [8, '#.#/##./.##']
a= 944 [49, 25] -> [54, 25]     [8, '#.#/##./.##']
a= 945 [54, 25] -> [54, 30]     [8, '#.#/##./.##']
a= 946 [54, 30] -> [54, 35]     [8, '#.#/##./.##']
a= 947 [54, 35] -> [54, 30]     [8, '#.#/##./.##']
a= 948 [54, 30] -> [54, 25]     [8, '#.#/##./.##']
a= 949 [54, 25] -> [49, 25]     [8, '#.#/##./.##']
a= 950 [49, 25] -> [39, 20]     [8, '#.#/##./.##']
a= 951 [39, 20] -> [39, 25]     [8, '#.#/##./.##']
a= 952 [39, 25] -> [34, 25]     [8, '#.#/##./.##']
a= 953 [34, 25] -> [29, 25] CHG [12, '#.#/##./.##']
a= 954 [29, 25] -> [29, 20]     [12, '#.#/##./.##']
a= 955 [29, 20] -> [24, 20]     [12, '#.#/##./.##']
a= 956 [24, 20] -> [19, 20]     [12, '#.#/##./.##']
a= 957 [19, 20] -> [19, 25] CHG [9, '#.#/##./.##']
a= 958 [19, 25] -> [19, 30]     [9, '#.#/##./.##']
a= 959 [19, 30] -> [19, 25]     [9, '#.#/##./.##']
a= 960 [19, 25] -> [19, 20]     [9, '#.#/##./.##']
a= 961 [19, 20] -> [24, 20]     [9, '#.#/##./.##']
a= 962 [24, 20] -> [24, 50] CHG [14, '##./.##/#.#']
a=1128 [9, 30] -> [9, 25]     [14, '#.#/##./.##']
a=1129 [9, 25] -> [14, 25]     [14, '#.#/##./.##']
a=1130 [14, 25] -> [19, 25]     [14, '#.#/##./.##']
a=1131 [19, 25] -> [19, 20]     [14, '#.#/##./.##']
a=1132 [19, 20] -> [19, 25]     [14, '#.#/##./.##']
a=1133 [19, 25] -> [19, 20]     [14, '#.#/##./.##']
a=1134 [19, 20] -> [19, 25] CHG [8, '#.#/##./.##']
a=1135 [19, 25] -> [24, 25]     [8, '#.#/##./.##']
a=1136 [24, 25] -> [29, 25]     [8, '#.#/##./.##']
a=1137 [29, 25] -> [34, 25]     [8, '#.#/##./.##']
a=1138 [34, 25] -> [39, 25]     [8, '#.#/##./.##']
a=1139 [39, 25] -> [39, 20]     [8, '#.#/##./.##']
a=1140 [39, 20] -> [39, 15]     [8, '#.#/##./.##']
a=1141 [39, 15] -> [44, 15]     [8, '#.#/##./.##']
a=1142 [44, 15] -> [49, 15]     [8, '#.#/##./.##']
a=1143 [49, 15] -> [49, 10]     [8, '#.#/##./.##']
a=1144 [49, 10] -> [49, 25]     [8, '#.#/##./.##']
a=1145 [49, 25] -> [54, 25]     [8, '#.#/##./.##']
a=1146 [54, 25] -> [54, 30]     [8, '#.#/##./.##']
a=1147 [54, 30] -> [54, 35]     [8, '#.#/##./.##']
a=1148 [54, 35] -> [54, 30]     [8, '#.#/##./.##']
a=1149 [54, 30] -> [54, 25]     [8, '#.#/##./.##']
a=1150 [54, 25] -> [49, 25]     [8, '#.#/##./.##']
a=1151 [49, 25] -> [39, 20]     [8, '#.#/##./.##']
a=1152 [39, 20] -> [39, 15]     [8, '#.#/##./.##']
a=1153 [39, 15] -> [39, 10]     [8, '#.#/##./.##']
a=1154 [39, 10] -> [39, 5]     [8, '#.#/##./.##']
a=1155 [39, 5] -> [39, 10]     [8, '#.#/##./.##']
a=1156 [39, 10] -> [39, 15]     [8, '#.#/##./.##']
a=1157 [39, 15] -> [39, 20]     [8, '#.#/##./.##']
a=1158 [39, 20] -> [39, 25]     [8, '#.#/##./.##']
a=1159 [39, 25] -> [39, 30]     [8, '#.#/##./.##']
a=1160 [39, 30] -> [39, 35]     [8, '#.#/##./.##']
