a= 962 [24, 20] -> [24, 50] CHG [14, '##./.##/#.#']
a= 963 [24, 50] -> [24, 45]     [14, '##./.##/#.#']
a= 964 [24, 45] -> [24, 40] CHG [14, '#.#/.##/##.']
a= 965 [24, 40] -> [29, 40]     [14, '#.#/.##/##.']
a= 966 [29, 40] -> [34, 40]     [14, '#.#/.##/##.']
a= 967 [34, 40] -> [39, 40]     [14, '#.#/.##/##.']
a= 968 [39, 40] -> [39, 35]     [14, '#.#/.##/##.']
a= 969 [39, 35] -> [39, 30]     [14, '#.#/.##/##.']
a= 970 [39, 30] -> [39, 25]     [14, '#.#/.##/##.']
a= 971 [39, 25] -> [39, 20]     [14, '#.#/.##/##.']
a= 972 [39, 20] -> [39, 15]     [14, '#.#/.##/##.']
a= 973 [39, 15] -> [39, 10]     [14, '#.#/.##/##.']
a= 974 [39, 10] -> [39, 5]     [14, '#.#/.##/##.']
a= 975 [39, 5] -> [39, 10]     [14, '#.#/.##/##.']
a= 976 [39, 10] -> [39, 15]     [14, '#.#/.##/##.']
a= 977 [39, 15] -> [39, 20]     [14, '#.#/.##/##.']
a= 978 [39, 20] -> [39, 25]     [14, '#.#/.##/##.']
a= 979 [39, 25] -> [39, 30]     [14, '#.#/.##/##.']
a= 980 [39, 30] -> [39, 35]     [14, '#.#/.##/##.']
a= 981 [39, 35] -> [39, 40]     [14, '#.#/.##/##.']
a= 982 [39, 40] -> [39, 45]     [14, '#.#/.##/##.']
a= 983 [39, 45] -> [34, 45]     [14, '#.#/.##/##.']
a= 984 [34, 45] -> [29, 45]     [14, '#.#/.##/##.']
a= 985 [29, 45] -> [24, 45]     [14, '#.#/.##/##.']
a= 986 [24, 45] -> [19, 45]     [14, '#.#/.##/##.']
a= 987 [19, 45] -> [14, 45]     [14, '#.#/.##/##.']
a= 988 [14, 45] -> [9, 45]     [14, '#.#/.##/##.']
a= 989 [9, 45] -> [9, 40]     [14, '#.#/.##/##.']
a= 990 [9, 40] -> [9, 35]     [14, '#.#/.##/##.']
a= 991 [9, 35] -> [9, 30]     [14, '#.#/.##/##.']
a= 992 [9, 30] -> [9, 25]     [14, '#.#/.##/##.']
a= 993 [9, 25] -> [9, 20]     [14, '#.#/.##/##.']
a= 994 [9, 20] -> [9, 15]     [14, '#.#/.##/##.']
a= 995 [9, 15] -> [9, 10]     [14, '#.#/.##/##.']
a= 996 [9, 10] -> [9, 5]     [14, '#.#/.##/##.']
a= 997 [9, 5] -> [9, 10]     [14, '#.#/.##/##.']
a= 998 [9, 10] -> [9, 15]     [14, '#.#/.##/##.']
a= 999 [9, 15] -> [9, 20]     [14, '#.#/.##/##.']
a=1000 [9, 20] -> [9, 25]     [14, '#.#/.##/##.']
a=1001 [9, 25] -> [9, 30]     [14, '#.#/.##/##.']
a=1002 [9, 30] -> [9, 35]     [14, '#.#/.##/##.']
a=1003 [9, 35] -> [9, 40]     [14, '#.#/.##/##.']
a=1004 [9, 40] -> [14, 40]     [14, '#.#/.##/##.']
a=1005 [14, 40] -> [19, 40] CHG [14, '#.#/##./.##']
a=1006 [19, 40] -> [14, 40] CHG [14, '.##/##./#.#']
a=1007 [14, 40] -> [9, 40]     [14, '.##/##./#.#']
a=1008 [9, 40] -> [9, 35]     [14, '.##/##./#.#']
a=1009 [9, 35] -> [9, 30]     [14, '.##/##./#.#']
a=1010 [9, 30] -> [9, 25]     [14, '.##/##./#.#']
a=1011 [9, 25] -> [14, 25]     [14, '.##/##./#.#']
a=1012 [14, 25] -> [19, 25] CHG [8, '.##/##./#.#']
a=1013 [19, 25] -> [14, 25]     [8, '.##/##./#.#']
a=1014 [14, 25] -> [9, 25]     [8, '.##/##./#.#']
a=1015 [9, 25] -> [9, 30]     [8, '.##/##./#.#']
a=1016 [9, 30] -> [9, 35]     [8, '.##/##./#.#']
a=1017 [9, 35] -> [9, 40]     [8, '.##/##./#.#']
a=1018 [9, 40] -> [14, 40]     [8, '.##/##./#.#']
a=1019 [14, 40] -> [19, 40]     [8, '.##/##./#.#']
a=1020 [19, 40] -> [24, 40] CHG [8, '##./.##/#.#']
a=1021 [24, 40] -> [24, 45]     [8, '##./.##/#.#']
a=1022 [24, 45] -> [24, 40]     [8, '##./.##/#.#']
a=1023 [24, 40] -> [29, 40]     [8, '##./.##/#.#']
a=1024 [29, 40] -> [34, 40]     [8, '##./.##/#.#']
a=1025 [34, 40] -> [39, 40]     [8, '##./.##/#.#']
a=1026 [39, 40] -> [39, 35]     [8, '##./.##/#.#']
a=1027 [39, 35] -> [39, 30]     [8, '##./.##/#.#']
a=1028 [39, 30] -> [39, 25]     [8, '##./.##/#.#']
a=1029 [39, 25] -> [34, 25]     [8, '##./.##/#.#']
a=1030 [34, 25] -> [29, 25]     [8, '##./.##/#.#']
a=1031 [29, 25] -> [29, 20] CHG [12, '##./.##/#.#']
a=1032 [29, 20] -> [24, 20]     [12, '##./.##/#.#']
a=1033 [24, 20] -> [24, 25]     [12, '##./.##/#.#']
a=1034 [24, 25] -> [29, 25]     [12, '##./.##/#.#']
a=1035 [29, 25] -> [29, 30]     [12, '##./.##/#.#']
a=1036 [29, 30] -> [24, 30]     [12, '##./.##/#.#']
a=1037 [24, 30] -> [19, 30]     [12, '##./.##/#.#']
a=1038 [19, 30] -> [19, 25]     [12, '##./.##/#.#']
a=1039 [19, 25] -> [24, 50] CHG [14, '##./.##/#.#']
a=1040 [24, 50] -> [24, 45]     [14, '##./.##/#.#']
a=1041 [24, 45] -> [24, 40] CHG [14, '#.#/.##/##.']
a=1042 [24, 40] -> [29, 40]     [14, '#.#/.##/##.']
a=1043 [29, 40] -> [34, 40]     [14, '#.#/.##/##.']
a=1044 [34, 40] -> [39, 40]     [14, '#.#/.##/##.']
a=1045 [39, 40] -> [39, 35]     [14, '#.#/.##/##.']
