benchmark: anim-20260807-anim
solver:    duck-harness
games:     25
passes:    1
runs:      25 (won: 0)
started:   2026-08-25 09:03:09
ended:     2026-08-25 11:15:49
duration:  2h 12m 39s
mean score:    4.33
median score:  1.20
total actions: 1260
total tokens:  1944823
generated tokens/sec: 244.33 (job wallclock)
total wallclock: 198063.6s

per-game (mean across passes):
  ar25-0c556536: score=8.33, levels=2.0/8, actions=68, tokens=99324
  bp35-0a0ad940: score=0.00, levels=0.0/9, actions=1, tokens=5697
  cd82-fb555c5d: score=4.76, levels=1.0/6, actions=43, tokens=101013
  cn04-2fe56bfb: score=0.00, levels=0.0/6, actions=27, tokens=74397
  dc22-fdcac232: score=0.00, levels=0.0/6, actions=121, tokens=95786
  ft09-0d8bbf25: score=28.57, levels=3.0/6, actions=35, tokens=101214
  g50t-5849a774: score=0.00, levels=0.0/7, actions=11, tokens=78014
  ka59-38d34dbb: score=0.00, levels=0.0/7, actions=24, tokens=100464
  lf52-271a04aa: score=1.82, levels=1.0/10, actions=42, tokens=98580
  lp85-305b61c3: score=2.78, levels=1.0/8, actions=16, tokens=89302
  ls20-9607627b: score=3.57, levels=1.0/7, actions=38, tokens=73704
  m0r0-492f87ba: score=0.00, levels=0.0/6, actions=89, tokens=86380
  r11l-495a7899: score=4.76, levels=1.0/6, actions=15, tokens=65916
  re86-8af5384d: score=16.67, levels=3.0/8, actions=154, tokens=67906
  s5i5-18d95033: score=0.00, levels=0.0/8, actions=51, tokens=90630
  sb26-7fbdac44: score=8.03, levels=2.0/8, actions=107, tokens=100431
  sc25-635fd71a: score=3.09, levels=2.0/6, actions=85, tokens=98811
  sk48-d8078629: score=0.00, levels=0.0/8, actions=30, tokens=74395
  sp80-589a99af: score=3.14, levels=1.0/6, actions=48, tokens=93197
  su15-1944f8ab: score=1.20, levels=1.0/9, actions=48, tokens=66699
  tn36-ef4dde99: score=0.00, levels=0.0/7, actions=38, tokens=63883
  tr87-cd924810: score=0.00, levels=0.0/6, actions=0, tokens=0
  tu93-0768757b: score=0.53, levels=1.0/9, actions=46, tokens=53334
  vc33-5430563c: score=20.97, levels=3.0/7, actions=91, tokens=98207
  wa30-ee6fef47: score=0.00, levels=0.0/9, actions=32, tokens=67539
